CPU Load: 57.07% | Memory Usage: 29.91% | CPU Temperature: 61.25 °C
CPU Load: 60.97% | Memory Usage: 30.53% | CPU Temperature: 61.87 °C
CPU Load: 63.34% | Memory Usage: 30.53% | CPU Temperature: 61.25 °C
CPU Load: 34.96% | Memory Usage: 30.53% | CPU Temperature: 62.50 °C
CPU Load: 39.53% | Memory Usage: 30.53% | CPU Temperature: 60.62 °C
CPU Load: 17.98% | Memory Usage: 30.53% | CPU Temperature: 55.55 °C
CPU Load: 43.19% | Memory Usage: 30.48% | CPU Temperature: 60.62 °C
CPU Load: 51.84% | Memory Usage: 30.53% | CPU Temperature: 62.50 °C
CPU Load: 62.52% | Memory Usage: 30.48% | CPU Temperature: 62.50 °C
CPU Load: 59.93% | Memory Usage: 30.53% | CPU Temperature: 61.87 °C
CPU Load: 51.10% | Memory Usage: 30.53% | CPU Temperature: 62.50 °C
CPU Load: 67.11% | Memory Usage: 30.48% | CPU Temperature: 62.50 °C
CPU Load: 58.39% | Memory Usage: 30.53% | CPU Temperature: 62.50 °C
CPU Load: 56.90% | Memory Usage: 30.53% | CPU Temperature: 62.50 °C
CPU Load: 54.44% | Memory Usage: 30.53% | CPU Temperature: 61.25 °C
CPU Load: 61.59% | Memory Usage: 30.53% | CPU Temperature: 63.12 °C
CPU Load: 51.34% | Memory Usage: 30.53% | CPU Temperature: 61.87 °C
CPU Load: 64.64% | Memory Usage: 30.53% | CPU Temperature: 63.75 °C
CPU Load: 50.76% | Memory Usage: 30.53% | CPU Temperature: 61.25 °C
CPU Load: 51.01% | Memory Usage: 30.53% | CPU Temperature: 60.62 °C
CPU Load: 31.87% | Memory Usage: 30.48% | CPU Temperature: 60.00 °C
CPU Load: 37.44% | Memory Usage: 29.08% | CPU Temperature: 58.88 °C
CPU Load: 61.72% | Memory Usage: 30.48% | CPU Temperature: 61.25 °C
CPU Load: 65.43% | Memory Usage: 30.48% | CPU Temperature: 61.25 °C
CPU Load: 65.20% | Memory Usage: 30.48% | CPU Temperature: 62.50 °C
CPU Load: 61.91% | Memory Usage: 30.53% | CPU Temperature: 61.87 °C
CPU Load: 54.21% | Memory Usage: 30.59% | CPU Temperature: 63.75 °C
CPU Load: 62.54% | Memory Usage: 30.43% | CPU Temperature: 61.25 °C
CPU Load: 53.68% | Memory Usage: 30.48% | CPU Temperature: 61.87 °C
CPU Load: 56.54% | Memory Usage: 30.53% | CPU Temperature: 61.25 °C
CPU Load: 54.44% | Memory Usage: 30.53% | CPU Temperature: 61.25 °C
CPU Load: 71.84% | Memory Usage: 30.53% | CPU Temperature: 63.12 °C
CPU Load: 55.35% | Memory Usage: 30.53% | CPU Temperature: 63.75 °C
CPU Load: 67.34% | Memory Usage: 30.59% | CPU Temperature: 63.75 °C
CPU Load: 47.64% | Memory Usage: 30.53% | CPU Temperature: 62.50 °C
CPU Load: 41.36% | Memory Usage: 30.53% | CPU Temperature: 61.87 °C
CPU Load: 23.91% | Memory Usage: 30.48% | CPU Temperature: 60.00 °C
CPU Load: 49.92% | Memory Usage: 30.48% | CPU Temperature: 59.44 °C
CPU Load: 59.23% | Memory Usage: 30.43% | CPU Temperature: 60.62 °C
CPU Load: 59.29% | Memory Usage: 30.53% | CPU Temperature: 63.12 °C
CPU Load: 62.86% | Memory Usage: 30.53% | CPU Temperature: 61.25 °C
CPU Load: 60.14% | Memory Usage: 30.53% | CPU Temperature: 60.62 °C
CPU Load: 61.41% | Memory Usage: 30.53% | CPU Temperature: 60.62 °C
CPU Load: 52.61% | Memory Usage: 30.59% | CPU Temperature: 63.12 °C
CPU Load: 53.60% | Memory Usage: 30.53% | CPU Temperature: 60.62 °C
CPU Load: 56.07% | Memory Usage: 30.53% | CPU Temperature: 63.12 °C
CPU Load: 51.85% | Memory Usage: 30.48% | CPU Temperature: 60.62 °C
CPU Load: 58.08% | Memory Usage: 30.48% | CPU Temperature: 61.25 °C
CPU Load: 62.25% | Memory Usage: 30.53% | CPU Temperature: 62.50 °C
CPU Load: 63.19% | Memory Usage: 30.53% | CPU Temperature: 63.12 °C
CPU Load: 34.18% | Memory Usage: 30.59% | CPU Temperature: 61.25 °C
CPU Load: 35.02% | Memory Usage: 30.48% | CPU Temperature: 61.25 °C
CPU Load: 17.00% | Memory Usage: 30.48% | CPU Temperature: 56.66 °C
CPU Load: 38.82% | Memory Usage: 30.48% | CPU Temperature: 61.25 °C
CPU Load: 49.83% | Memory Usage: 30.53% | CPU Temperature: 60.00 °C
CPU Load: 60.14% | Memory Usage: 30.53% | CPU Temperature: 62.50 °C
CPU Load: 60.67% | Memory Usage: 30.59% | CPU Temperature: 61.25 °C
CPU Load: 51.69% | Memory Usage: 30.59% | CPU Temperature: 61.25 °C
CPU Load: 68.17% | Memory Usage: 30.59% | CPU Temperature: 62.50 °C
CPU Load: 55.50% | Memory Usage: 30.53% | CPU Temperature: 61.87 °C
CPU Load: 66.22% | Memory Usage: 30.53% | CPU Temperature: 61.25 °C
CPU Load: 58.08% | Memory Usage: 30.48% | CPU Temperature: 60.62 °C
CPU Load: 54.61% | Memory Usage: 30.53% | CPU Temperature: 61.87 °C
CPU Load: 48.66% | Memory Usage: 30.53% | CPU Temperature: 61.25 °C
CPU Load: 61.85% | Memory Usage: 30.53% | CPU Temperature: 63.12 °C
CPU Load: 50.84% | Memory Usage: 30.53% | CPU Temperature: 62.50 °C
CPU Load: 50.00% | Memory Usage: 30.53% | CPU Temperature: 61.87 °C
CPU Load: 37.25% | Memory Usage: 30.79% | CPU Temperature: 60.00 °C
CPU Load: 19.15% | Memory Usage: 27.48% | CPU Temperature: 60.62 °C
CPU Load: 50.59% | Memory Usage: 30.74% | CPU Temperature: 60.62 °C
CPU Load: 62.88% | Memory Usage: 30.74% | CPU Temperature: 61.25 °C
CPU Load: 58.39% | Memory Usage: 30.79% | CPU Temperature: 62.50 °C
CPU Load: 61.85% | Memory Usage: 30.79% | CPU Temperature: 61.25 °C
CPU Load: 48.82% | Memory Usage: 30.79% | CPU Temperature: 62.50 °C
CPU Load: 66.67% | Memory Usage: 30.79% | CPU Temperature: 63.12 °C
CPU Load: 59.53% | Memory Usage: 30.79% | CPU Temperature: 61.25 °C
CPU Load: 54.97% | Memory Usage: 30.79% | CPU Temperature: 61.25 °C
CPU Load: 51.59% | Memory Usage: 30.79% | CPU Temperature: 62.50 °C
CPU Load: 66.44% | Memory Usage: 30.79% | CPU Temperature: 61.87 °C
CPU Load: 51.86% | Memory Usage: 30.79% | CPU Temperature: 61.87 °C
CPU Load: 66.27% | Memory Usage: 30.84% | CPU Temperature: 61.87 °C
CPU Load: 49.24% | Memory Usage: 30.79% | CPU Temperature: 61.25 °C
CPU Load: 48.07% | Memory Usage: 30.79% | CPU Temperature: 60.62 °C
CPU Load: 30.49% | Memory Usage: 30.84% | CPU Temperature: 60.00 °C
CPU Load: 43.00% | Memory Usage: 30.79% | CPU Temperature: 59.44 °C
CPU Load: 60.58% | Memory Usage: 30.79% | CPU Temperature: 61.87 °C
CPU Load: 63.93% | Memory Usage: 30.79% | CPU Temperature: 63.12 °C
CPU Load: 59.90% | Memory Usage: 30.74% | CPU Temperature: 61.25 °C
CPU Load: 60.34% | Memory Usage: 30.79% | CPU Temperature: 60.62 °C
CPU Load: 55.39% | Memory Usage: 30.79% | CPU Temperature: 61.87 °C
CPU Load: 59.40% | Memory Usage: 30.74% | CPU Temperature: 61.25 °C
CPU Load: 53.72% | Memory Usage: 30.79% | CPU Temperature: 63.12 °C
CPU Load: 52.52% | Memory Usage: 30.53% | CPU Temperature: 61.87 °C
CPU Load: 55.24% | Memory Usage: 30.53% | CPU Temperature: 62.50 °C
CPU Load: 67.79% | Memory Usage: 30.59% | CPU Temperature: 61.25 °C
CPU Load: 58.72% | Memory Usage: 30.53% | CPU Temperature: 62.50 °C
CPU Load: 65.43% | Memory Usage: 30.53% | CPU Temperature: 64.37 °C
CPU Load: 43.56% | Memory Usage: 30.53% | CPU Temperature: 61.25 °C
CPU Load: 37.92% | Memory Usage: 30.53% | CPU Temperature: 61.87 °C
CPU Load: 21.42% | Memory Usage: 30.53% | CPU Temperature: 58.88 °C
CPU Load: 35.80% | Memory Usage: 30.53% | CPU Temperature: 60.00 °C
CPU Load: 52.36% | Memory Usage: 30.53% | CPU Temperature: 61.87 °C
CPU Load: 60.80% | Memory Usage: 30.48% | CPU Temperature: 63.12 °C
CPU Load: 59.02% | Memory Usage: 30.53% | CPU Temperature: 61.25 °C
CPU Load: 53.94% | Memory Usage: 30.53% | CPU Temperature: 61.25 °C
CPU Load: 71.14% | Memory Usage: 30.48% | CPU Temperature: 63.12 °C
CPU Load: 52.44% | Memory Usage: 30.53% | CPU Temperature: 61.25 °C
CPU Load: 62.46% | Memory Usage: 30.53% | CPU Temperature: 61.25 °C
CPU Load: 57.67% | Memory Usage: 30.59% | CPU Temperature: 62.50 °C
CPU Load: 56.57% | Memory Usage: 30.48% | CPU Temperature: 61.87 °C
CPU Load: 50.67% | Memory Usage: 30.59% | CPU Temperature: 60.62 °C
CPU Load: 63.76% | Memory Usage: 30.59% | CPU Temperature: 63.75 °C
CPU Load: 51.26% | Memory Usage: 30.59% | CPU Temperature: 62.50 °C
CPU Load: 42.16% | Memory Usage: 30.59% | CPU Temperature: 61.87 °C
CPU Load: 37.94% | Memory Usage: 30.53% | CPU Temperature: 60.00 °C
CPU Load: 20.68% | Memory Usage: 27.27% | CPU Temperature: 60.62 °C
CPU Load: 52.20% | Memory Usage: 30.48% | CPU Temperature: 61.87 °C
CPU Load: 63.09% | Memory Usage: 30.48% | CPU Temperature: 61.87 °C
CPU Load: 59.12% | Memory Usage: 30.53% | CPU Temperature: 61.25 °C
CPU Load: 60.80% | Memory Usage: 30.53% | CPU Temperature: 62.50 °C
CPU Load: 51.18% | Memory Usage: 30.59% | CPU Temperature: 63.12 °C
CPU Load: 70.03% | Memory Usage: 30.59% | CPU Temperature: 61.87 °C
CPU Load: 60.03% | Memory Usage: 30.59% | CPU Temperature: 61.25 °C
CPU Load: 55.97% | Memory Usage: 30.59% | CPU Temperature: 61.25 °C
CPU Load: 51.68% | Memory Usage: 30.48% | CPU Temperature: 63.75 °C
CPU Load: 68.46% | Memory Usage: 30.53% | CPU Temperature: 61.25 °C
CPU Load: 54.36% | Memory Usage: 30.59% | CPU Temperature: 61.87 °C
CPU Load: 65.04% | Memory Usage: 30.53% | CPU Temperature: 62.50 °C
CPU Load: 52.46% | Memory Usage: 30.59% | CPU Temperature: 62.50 °C
CPU Load: 55.35% | Memory Usage: 30.53% | CPU Temperature: 62.50 °C
CPU Load: 29.63% | Memory Usage: 30.53% | CPU Temperature: 62.50 °C
CPU Load: 49.15% | Memory Usage: 30.53% | CPU Temperature: 60.00 °C
CPU Load: 63.05% | Memory Usage: 30.59% | CPU Temperature: 63.12 °C
CPU Load: 74.11% | Memory Usage: 31.00% | CPU Temperature: 62.50 °C
CPU Load: 71.69% | Memory Usage: 31.00% | CPU Temperature: 61.87 °C
CPU Load: 60.67% | Memory Usage: 31.10% | CPU Temperature: 61.87 °C
CPU Load: 56.88% | Memory Usage: 31.05% | CPU Temperature: 62.50 °C
CPU Load: 53.70% | Memory Usage: 31.05% | CPU Temperature: 61.25 °C
CPU Load: 57.50% | Memory Usage: 31.05% | CPU Temperature: 63.12 °C
CPU Load: 47.06% | Memory Usage: 31.05% | CPU Temperature: 63.75 °C
CPU Load: 52.09% | Memory Usage: 31.05% | CPU Temperature: 62.50 °C
CPU Load: 60.81% | Memory Usage: 31.05% | CPU Temperature: 63.12 °C
CPU Load: 57.96% | Memory Usage: 31.05% | CPU Temperature: 63.12 °C
CPU Load: 60.94% | Memory Usage: 31.16% | CPU Temperature: 63.12 °C
CPU Load: 34.74% | Memory Usage: 31.10% | CPU Temperature: 61.25 °C
CPU Load: 34.29% | Memory Usage: 31.05% | CPU Temperature: 60.62 °C
CPU Load: 20.54% | Memory Usage: 31.05% | CPU Temperature: 57.77 °C
CPU Load: 34.34% | Memory Usage: 31.00% | CPU Temperature: 60.62 °C
CPU Load: 55.28% | Memory Usage: 31.10% | CPU Temperature: 61.25 °C
CPU Load: 58.32% | Memory Usage: 31.10% | CPU Temperature: 61.25 °C
CPU Load: 63.93% | Memory Usage: 31.10% | CPU Temperature: 63.75 °C
CPU Load: 51.26% | Memory Usage: 31.05% | CPU Temperature: 62.50 °C
CPU Load: 67.74% | Memory Usage: 31.05% | CPU Temperature: 62.50 °C
CPU Load: 47.64% | Memory Usage: 31.00% | CPU Temperature: 63.75 °C
CPU Load: 61.64% | Memory Usage: 31.00% | CPU Temperature: 61.87 °C
CPU Load: 57.98% | Memory Usage: 31.00% | CPU Temperature: 62.50 °C
CPU Load: 57.48% | Memory Usage: 31.10% | CPU Temperature: 61.87 °C
CPU Load: 58.99% | Memory Usage: 30.74% | CPU Temperature: 61.25 °C
CPU Load: 65.77% | Memory Usage: 30.59% | CPU Temperature: 62.50 °C
CPU Load: 52.80% | Memory Usage: 30.59% | CPU Temperature: 61.25 °C
CPU Load: 36.81% | Memory Usage: 30.59% | CPU Temperature: 61.87 °C
CPU Load: 35.41% | Memory Usage: 30.53% | CPU Temperature: 61.25 °C
CPU Load: 21.44% | Memory Usage: 27.27% | CPU Temperature: 60.62 °C
CPU Load: 50.34% | Memory Usage: 30.59% | CPU Temperature: 62.50 °C
CPU Load: 63.93% | Memory Usage: 30.53% | CPU Temperature: 62.50 °C
CPU Load: 60.30% | Memory Usage: 30.59% | CPU Temperature: 62.50 °C
CPU Load: 61.32% | Memory Usage: 30.59% | CPU Temperature: 61.87 °C
CPU Load: 49.33% | Memory Usage: 30.59% | CPU Temperature: 62.50 °C
CPU Load: 71.55% | Memory Usage: 30.53% | CPU Temperature: 62.50 °C
CPU Load: 58.49% | Memory Usage: 30.59% | CPU Temperature: 61.25 °C
CPU Load: 55.76% | Memory Usage: 30.64% | CPU Temperature: 61.25 °C
CPU Load: 56.76% | Memory Usage: 30.74% | CPU Temperature: 63.75 °C
CPU Load: 70.95% | Memory Usage: 30.59% | CPU Temperature: 61.25 °C
CPU Load: 52.36% | Memory Usage: 30.59% | CPU Temperature: 62.50 °C
CPU Load: 60.23% | Memory Usage: 30.59% | CPU Temperature: 63.12 °C
CPU Load: 52.91% | Memory Usage: 30.53% | CPU Temperature: 61.25 °C
CPU Load: 50.25% | Memory Usage: 30.53% | CPU Temperature: 62.50 °C
CPU Load: 30.30% | Memory Usage: 30.79% | CPU Temperature: 61.25 °C
CPU Load: 50.00% | Memory Usage: 30.59% | CPU Temperature: 59.44 °C
CPU Load: 68.81% | Memory Usage: 30.53% | CPU Temperature: 62.50 °C
CPU Load: 73.31% | Memory Usage: 30.59% | CPU Temperature: 61.87 °C
CPU Load: 67.57% | Memory Usage: 30.64% | CPU Temperature: 61.25 °C
CPU Load: 68.07% | Memory Usage: 30.59% | CPU Temperature: 62.50 °C
CPU Load: 59.09% | Memory Usage: 30.59% | CPU Temperature: 61.25 °C
CPU Load: 60.17% | Memory Usage: 30.64% | CPU Temperature: 63.12 °C
CPU Load: 58.61% | Memory Usage: 30.79% | CPU Temperature: 61.87 °C
CPU Load: 50.34% | Memory Usage: 30.64% | CPU Temperature: 60.62 °C
CPU Load: 54.79% | Memory Usage: 30.64% | CPU Temperature: 63.12 °C
CPU Load: 69.46% | Memory Usage: 30.59% | CPU Temperature: 62.50 °C
CPU Load: 57.94% | Memory Usage: 30.59% | CPU Temperature: 63.12 °C
CPU Load: 68.46% | Memory Usage: 30.59% | CPU Temperature: 62.50 °C
CPU Load: 38.68% | Memory Usage: 30.64% | CPU Temperature: 60.62 °C
CPU Load: 36.81% | Memory Usage: 30.64% | CPU Temperature: 62.50 °C
CPU Load: 22.30% | Memory Usage: 30.59% | CPU Temperature: 60.00 °C
CPU Load: 43.00% | Memory Usage: 30.59% | CPU Temperature: 58.33 °C
CPU Load: 61.58% | Memory Usage: 30.53% | CPU Temperature: 61.25 °C
CPU Load: 65.55% | Memory Usage: 30.59% | CPU Temperature: 61.87 °C
CPU Load: 65.66% | Memory Usage: 30.59% | CPU Temperature: 63.12 °C
CPU Load: 61.08% | Memory Usage: 30.53% | CPU Temperature: 62.50 °C
CPU Load: 71.60% | Memory Usage: 30.53% | CPU Temperature: 63.12 °C
CPU Load: 52.02% | Memory Usage: 30.59% | CPU Temperature: 61.87 °C
CPU Load: 61.74% | Memory Usage: 30.64% | CPU Temperature: 63.12 °C
CPU Load: 58.72% | Memory Usage: 30.64% | CPU Temperature: 61.87 °C
CPU Load: 53.86% | Memory Usage: 30.59% | CPU Temperature: 62.50 °C
CPU Load: 53.68% | Memory Usage: 30.64% | CPU Temperature: 60.62 °C
CPU Load: 64.81% | Memory Usage: 30.64% | CPU Temperature: 62.50 °C
CPU Load: 55.24% | Memory Usage: 30.59% | CPU Temperature: 61.25 °C
CPU Load: 36.74% | Memory Usage: 30.59% | CPU Temperature: 63.12 °C
CPU Load: 36.12% | Memory Usage: 30.59% | CPU Temperature: 61.25 °C
CPU Load: 17.03% | Memory Usage: 27.32% | CPU Temperature: 57.77 °C
CPU Load: 44.01% | Memory Usage: 30.59% | CPU Temperature: 61.87 °C
CPU Load: 55.97% | Memory Usage: 30.59% | CPU Temperature: 62.50 °C
CPU Load: 61.31% | Memory Usage: 30.64% | CPU Temperature: 63.75 °C
CPU Load: 66.89% | Memory Usage: 30.79% | CPU Temperature: 61.87 °C
CPU Load: 51.93% | Memory Usage: 30.59% | CPU Temperature: 60.62 °C
CPU Load: 65.82% | Memory Usage: 30.64% | CPU Temperature: 63.75 °C
CPU Load: 59.53% | Memory Usage: 30.59% | CPU Temperature: 63.12 °C
CPU Load: 58.28% | Memory Usage: 30.53% | CPU Temperature: 62.50 °C
CPU Load: 50.84% | Memory Usage: 30.53% | CPU Temperature: 61.25 °C
CPU Load: 67.95% | Memory Usage: 30.59% | CPU Temperature: 63.12 °C
CPU Load: 50.08% | Memory Usage: 30.53% | CPU Temperature: 61.25 °C
CPU Load: 68.17% | Memory Usage: 30.59% | CPU Temperature: 62.50 °C
CPU Load: 43.17% | Memory Usage: 30.59% | CPU Temperature: 61.87 °C
CPU Load: 52.86% | Memory Usage: 30.59% | CPU Temperature: 63.12 °C
CPU Load: 30.37% | Memory Usage: 30.59% | CPU Temperature: 61.25 °C
CPU Load: 39.19% | Memory Usage: 30.33% | CPU Temperature: 61.25 °C
CPU Load: 62.46% | Memory Usage: 30.59% | CPU Temperature: 63.12 °C
CPU Load: 73.02% | Memory Usage: 30.59% | CPU Temperature: 62.50 °C
CPU Load: 65.94% | Memory Usage: 30.64% | CPU Temperature: 61.87 °C
CPU Load: 61.85% | Memory Usage: 30.59% | CPU Temperature: 63.12 °C
CPU Load: 52.76% | Memory Usage: 30.59% | CPU Temperature: 61.25 °C
CPU Load: 59.70% | Memory Usage: 30.59% | CPU Temperature: 61.25 °C
CPU Load: 53.87% | Memory Usage: 30.59% | CPU Temperature: 61.87 °C
CPU Load: 54.38% | Memory Usage: 30.64% | CPU Temperature: 61.87 °C
CPU Load: 55.65% | Memory Usage: 30.59% | CPU Temperature: 63.12 °C
CPU Load: 70.95% | Memory Usage: 30.59% | CPU Temperature: 62.50 °C
CPU Load: 54.81% | Memory Usage: 30.59% | CPU Temperature: 61.87 °C
CPU Load: 65.22% | Memory Usage: 30.59% | CPU Temperature: 62.50 °C
CPU Load: 42.20% | Memory Usage: 30.59% | CPU Temperature: 61.87 °C
CPU Load: 36.49% | Memory Usage: 30.64% | CPU Temperature: 61.25 °C
CPU Load: 23.91% | Memory Usage: 30.59% | CPU Temperature: 61.87 °C
CPU Load: 52.20% | Memory Usage: 30.59% | CPU Temperature: 58.88 °C
CPU Load: 60.24% | Memory Usage: 30.59% | CPU Temperature: 61.25 °C
CPU Load: 58.96% | Memory Usage: 30.59% | CPU Temperature: 61.25 °C
CPU Load: 60.40% | Memory Usage: 30.59% | CPU Temperature: 62.50 °C
CPU Load: 61.11% | Memory Usage: 30.59% | CPU Temperature: 61.87 °C
CPU Load: 61.21% | Memory Usage: 30.64% | CPU Temperature: 63.12 °C
CPU Load: 54.53% | Memory Usage: 30.59% | CPU Temperature: 61.87 °C
CPU Load: 55.74% | Memory Usage: 30.59% | CPU Temperature: 63.75 °C
CPU Load: 56.95% | Memory Usage: 30.64% | CPU Temperature: 62.50 °C
CPU Load: 53.45% | Memory Usage: 30.64% | CPU Temperature: 63.12 °C
CPU Load: 57.65% | Memory Usage: 30.64% | CPU Temperature: 61.87 °C
CPU Load: 57.53% | Memory Usage: 30.59% | CPU Temperature: 63.12 °C
CPU Load: 67.01% | Memory Usage: 30.59% | CPU Temperature: 63.12 °C
CPU Load: 35.30% | Memory Usage: 30.59% | CPU Temperature: 61.87 °C
CPU Load: 41.68% | Memory Usage: 30.53% | CPU Temperature: 61.25 °C
CPU Load: 17.54% | Memory Usage: 30.59% | CPU Temperature: 56.66 °C
CPU Load: 40.07% | Memory Usage: 30.64% | CPU Temperature: 60.00 °C
CPU Load: 51.85% | Memory Usage: 30.59% | CPU Temperature: 61.87 °C
CPU Load: 62.52% | Memory Usage: 30.64% | CPU Temperature: 62.50 °C
CPU Load: 61.11% | Memory Usage: 30.59% | CPU Temperature: 61.87 °C
CPU Load: 62.10% | Memory Usage: 31.10% | CPU Temperature: 61.87 °C
CPU Load: 75.04% | Memory Usage: 31.10% | CPU Temperature: 63.12 °C
CPU Load: 60.81% | Memory Usage: 31.16% | CPU Temperature: 63.12 °C
CPU Load: 63.13% | Memory Usage: 31.16% | CPU Temperature: 61.25 °C
CPU Load: 58.82% | Memory Usage: 31.16% | CPU Temperature: 62.50 °C
CPU Load: 62.35% | Memory Usage: 31.16% | CPU Temperature: 62.50 °C
CPU Load: 50.34% | Memory Usage: 31.16% | CPU Temperature: 61.87 °C
CPU Load: 63.59% | Memory Usage: 31.10% | CPU Temperature: 63.12 °C
CPU Load: 59.26% | Memory Usage: 31.10% | CPU Temperature: 62.50 °C
CPU Load: 53.66% | Memory Usage: 31.16% | CPU Temperature: 61.25 °C
CPU Load: 34.34% | Memory Usage: 31.21% | CPU Temperature: 60.00 °C
CPU Load: 40.24% | Memory Usage: 31.16% | CPU Temperature: 60.00 °C
CPU Load: 62.29% | Memory Usage: 31.16% | CPU Temperature: 61.87 °C
CPU Load: 67.85% | Memory Usage: 31.16% | CPU Temperature: 61.25 °C
CPU Load: 64.48% | Memory Usage: 31.16% | CPU Temperature: 62.50 °C
CPU Load: 64.48% | Memory Usage: 31.10% | CPU Temperature: 61.87 °C
CPU Load: 59.50% | Memory Usage: 31.21% | CPU Temperature: 61.87 °C
CPU Load: 64.48% | Memory Usage: 31.16% | CPU Temperature: 62.50 °C
CPU Load: 54.76% | Memory Usage: 31.16% | CPU Temperature: 62.50 °C
CPU Load: 55.13% | Memory Usage: 31.16% | CPU Temperature: 63.12 °C
CPU Load: 52.68% | Memory Usage: 31.21% | CPU Temperature: 61.87 °C
CPU Load: 68.35% | Memory Usage: 31.21% | CPU Temperature: 62.50 °C
CPU Load: 62.98% | Memory Usage: 31.16% | CPU Temperature: 63.75 °C
CPU Load: 67.83% | Memory Usage: 31.16% | CPU Temperature: 64.37 °C
CPU Load: 45.44% | Memory Usage: 31.10% | CPU Temperature: 63.75 °C
CPU Load: 39.42% | Memory Usage: 31.16% | CPU Temperature: 61.25 °C
CPU Load: 23.95% | Memory Usage: 31.16% | CPU Temperature: 60.62 °C
CPU Load: 52.87% | Memory Usage: 31.16% | CPU Temperature: 60.62 °C
CPU Load: 60.03% | Memory Usage: 31.21% | CPU Temperature: 62.50 °C
CPU Load: 67.06% | Memory Usage: 31.10% | CPU Temperature: 61.87 °C
CPU Load: 71.86% | Memory Usage: 31.21% | CPU Temperature: 61.25 °C
CPU Load: 59.19% | Memory Usage: 31.16% | CPU Temperature: 61.87 °C
CPU Load: 60.57% | Memory Usage: 31.10% | CPU Temperature: 62.50 °C
CPU Load: 56.85% | Memory Usage: 31.21% | CPU Temperature: 63.75 °C
CPU Load: 53.20% | Memory Usage: 31.16% | CPU Temperature: 61.87 °C
CPU Load: 69.88% | Memory Usage: 31.10% | CPU Temperature: 63.75 °C
CPU Load: 57.26% | Memory Usage: 31.10% | CPU Temperature: 63.12 °C
CPU Load: 56.95% | Memory Usage: 31.26% | CPU Temperature: 61.87 °C
CPU Load: 60.70% | Memory Usage: 31.10% | CPU Temperature: 61.87 °C
CPU Load: 59.50% | Memory Usage: 31.16% | CPU Temperature: 61.87 °C
CPU Load: 32.60% | Memory Usage: 31.21% | CPU Temperature: 60.62 °C
CPU Load: 33.61% | Memory Usage: 31.16% | CPU Temperature: 61.25 °C
CPU Load: 20.50% | Memory Usage: 24.00% | CPU Temperature: 57.77 °C
CPU Load: 46.13% | Memory Usage: 27.22% | CPU Temperature: 60.62 °C
CPU Load: 53.61% | Memory Usage: 27.11% | CPU Temperature: 63.12 °C
CPU Load: 51.43% | Memory Usage: 27.16% | CPU Temperature: 61.87 °C
CPU Load: 54.73% | Memory Usage: 27.22% | CPU Temperature: 61.87 °C
CPU Load: 44.57% | Memory Usage: 27.22% | CPU Temperature: 59.44 °C
CPU Load: 61.01% | Memory Usage: 27.16% | CPU Temperature: 62.50 °C
CPU Load: 51.84% | Memory Usage: 27.16% | CPU Temperature: 63.12 °C
CPU Load: 78.58% | Memory Usage: 20.89% | CPU Temperature: 56.66 °C
CPU Load: 26.67% | Memory Usage: 20.37% | CPU Temperature: 52.77 °C
CPU Load: 14.05% | Memory Usage: 20.06% | CPU Temperature: 50.55 °C
